Title,Director,Production,Music Composer,Cast,Genre,Release Date,Year,index
Kongu Mudi,Vijaya Bapineedu,,S. P. Balasubrahmanyam,Shoban Babu,,,1985,981
Kotha Pelli Koothuru,K. S. Rami Reddy,,,Chandra Mohan,,,1985,982
Maa Pallelo Gopaludu,Kodi Ramakrishna,,K. V. Mahadevan,Arjun,,,1985,983
Maha Manishi,M. Balaiah,,,Krishna Ghattamaneni,,,1985,984
Maha Sangramam,A. Kodandarami Reddy,,Chakravarthy,Krishna Ghattamaneni,,,1985,985
Maharaju,Vijaya Bapineedu,,Chakravarthy,Shoban Babu,,,1985,986
Manthra Dandam,Kommineni Seshagiri Rao,,Chakravarthy,Kanta Rao,,,1985,987
Mogudu Pellalu,Jandhyala,,Ramesh Naidu,Naresh,,,1985,988
Muchataga Mugguru,Relangi Narasimha Rao,,K. V. Mahadevan,Chandra Mohan,,,1985,989
Nyayam Meere Cheppali,G. Rammohan Rao,,,Suman,,,1985,990
Oka Radha Iddaru Krishnulu,A. Kodandarami Reddy,,Ilaiyaraaja,Kamal Haasan,,,1985,991
Pachani Kapuram,T. Rama Rao,,Chakravarthy,Krishna Ghattamaneni,,,1985,992
Palnati Simham,A. Kodandarami Reddy,,Chakravarthy,Krishna Ghattamaneni,,,1985,993
Pattabhishekam,K. Raghavendra Rao,,,Nandamuri Balakrishna,,,1985,994
Pratighatana,T. Krishna,,,Vijayshanti,,,1985,995
Preminchu Pelladu,Vamsy,,Ilaiyaraaja,Rajendra Prasad,,,1985,996
Puli,Raj Bharat,,,Chiranjeevi,,,1985,997
Ragile Gundelu,A. Kodandarami Reddy,,Chakravarthy,Mohan Babu,,,1985,998
Rakta Sindhuram,A. Kodandarami Reddy,,Chakravarthy,Chiranjeevi,,,1985,999
Sri Datta Darsanam,Kamalakara Kameshwara Rao,,,Sarundaman D. Banerjee,,,1985,1000
Siksha,Relangi Narasimha Rao,,K. V. Mahadevan,Chandra Mohan,,,1985,1001
Sravanthi,Kranthi Kumar,,,Mohan,,,1985,1002
Srivari Shobanam,Jandhyala,,Ramesh Naidu,Naresh,,,1985,1003
Surya Chandra,Vijaya Nirmala,,,Krishna Ghattamaneni,,,1985,1004
Tirugubatu,Dasari Narayana Rao,,,Krishnam Raju,,,1985,1005
Vajrayudham,K. Raghavendra Rao,,Chakravarthy,Krishna Ghattamaneni,,,1985,1006
Vande Mataram,T. Krishna,,Chakravarthy,Rajasekhar,,,1985,1007
Vijetha,A. Kodandarami Reddy,,Chakravarthy,Chiranjeevi,,,1985,1008
Yuvataram Pilicindi,P. Bharatiraja,,,,,,1985,1009
Aatma Bandhuvulu,Dasari Narayana Rao,,,Akkineni Nageswara Rao,,,1987,1010
Ajeyudu,G. Ram Mohan Rao,,,Daggubati Venkatesh,,,1987,1011
Allari Krishnaiah,Nandamuri Ramesh,,,Nandamuri Balakrishna,,,1987,1012
Aradhana,Bharathiraja,,Ilaiyaraaja,Chiranjeevi,,,1987,1013
America Abbayi,Singeetam Srinivasa Rao,,Saluri Rajeswara Rao,Master Shravan Shankar,,,1987,1014
Agni Putrudu,K. Raghavendra Rao,,Chakravarthy,Akkineni Nageshwara Rao,,,1987,1015
Aha Naa-Pellanta!,Jandhyala,,Ramesh Naidu,Rajendra Prasad,,,1987,1016
Aranya Kanda,Kranthi Kumar,,Chakravarthy,Akkineni Nagarjuna,,,1987,1017
Bhale Mogudu,Relangi Narasimha Rao,,,Rajendra Prasad,,,1987,1018
Bhanumati Gari Mogudu,A. Kodandarami Reddy,,Chakravarthy,Balakrishna,,,1987,1019
Bharatamlo Arjunudu,K. Raghavendra Rao,,Chakravarthy,Daggubati Venkatesh,,,1987,1020
Bhargava Ramudu,A. Kodandarami Reddy,,Chakravarthy,Balakrishna,,,1987,1021
Brahma Nayudu,Dasari Narayana Rao,,,Krishnam Raju,,,1987,1022
Chakravarthy,Raviraja Pinisetty,,Chakravarthy,Chiranjeevi,,,1987,1023
Chinnari Devatha,L. Raja,,Chandrabose,Arjun,,,1987,1024
Collector Gari Abbai,B. Gopal,,Chakravarthy,Akkineni Nageshwara Rao,,,1987,1025
Dabbevariki Chedu,Relangi Narasimha Rao,,K. V. Mahadevan,Rajendra Prasad,,,1987,1026
Dammit Katha Addam Thirigindi,K. Vasu,,,Rajendra Prasad,,,1987,1027
Dharmapatni,T. L. V. Prasad,,,Suman,,,1987,1028
Donga Garu Swagatham,G. Ram Mohana Rao,,,Krishna,,,1987,1029
Donga Mogudu,A. Kodandarami Reddy,,Chakravarthy,Chiranjeevi,,,1987,1030
Gandhinagar Rendava Veedhi,P. N. Ramachandra Rao,,,Rajendra Prasad,,,1987,1031
Gundamma Gari Krishnulu,Relangi Narasimha Rao,,K. V. Mahadevan,Rajendra Prasad,,,1987,1032
